kroniek,stad,latitude,longitude
1570_Rott_Alle,Rotterdam,51.9200,4.4800
1575_Bosc_Anon,'s-Hertogenbosch,51.7000,5.3167
1575_Hoor_Matt,Hoorn,52.6423654,5.06021
1576_Utre_Anon,Utrecht,52.0908,5.1217
1576_Zier_Clae,Zierikzee,51.6497,3.9164
1577_Utre_Anon,Utrecht,52.0908,5.1217
1579_Amst_Maes,Amsterdam,52.3728,4.8936
1581_Haar_Verw,Haarlem,52.3803,4.6406
1582_Stee_Steg,Steenwijk,52.7833,6.1167
1583_Bilt_ErpH,De Bilt,52.1119,5.1825
1589_Gron_Eppe,Groningen,53.2189,6.5675
1592_Cule_Vrem,Culemborg,51.9500,5.2333
1594_Gron_Alti,Groningen,53.2189,6.5675
1602_Midd_Joos,Middelburg,51.5,3.61389
1606_Gron_Anon,Groningen,53.2189,6.5675
1609_Bosc_Anon,'s-Hertogenbosch,51.7000,5.3167
1609_Oist_Hoev,Oisterwijk,51.5654243,5.2030282
